object_in_context,subject_geographical,subject_geographical2,subject_geographical 3,subject_geographical 4,subject_topical 4,subject_topical 5,abstract 1,abstract 2,item_type,date,title,form,rights,name,role,collection,collection_identifier,repository,genre,project_title,thumbnail,oai_identifier,identifier 1,issn
http://digital.lib.utk.edu/collections/islandora/object/kintner%3A15,Great Smoky Mountains National Park (N.C. and Tenn.)--Pictorial works.,Clingmans Dome (N.C. and Tenn.), , , ,,"From Cove Mountain Looking Southeast: Mt Collins, Clingmans Dome, and Mt Buckley.","Panorama taken looking Southeast from the Cove Mountain Fire Tower, which is still standing. Sugarland Mountain is in the middleground on the left with Bent Arm on the right.",image,"February 20, 1972",Looking Southeast from Cove Mountain,photographs,Images in the collection are protected by copyright. Contact smokies@utk.edu for permission to reproduce images from the collection.," 	Kintner, Elgin P.",Photographer,"Elgin P. Kintner, M.D. Smoky Mountains Collection, 1950-2011",MS.3686,"University of Tennessee, Knoxville. Special Collections","Photography, Panoramic.","The panoramic images of Elgin P. Kintner, M.D.",http://digital.lib.utk.edu/collections/islandora/object/kintner%3A15/datastream/TN/view/Looking%20Southeast%20from%20Cove%20Mountain.jpg,kintner_15,kintner:15,3714-3715
http://digital.lib.utk.edu/collections/islandora/object/kintner%3A46,Great Smoky Mountains National Park (N.C. and Tenn.)--Pictorial works.,Bryson City (N.C.),"Deep Creek (Swain County, N.C.)", ,,,"Bryson City area from Noland Divide / ""On 6 Dec 1975 hiked Deep Creek & Noland Divide""",,image,1975 December 06,View of Bryson City from Noland Divide,photographs,Images in the collection are protected by copyright. Contact smokies@utk.edu for permission to reproduce images from the collection.," 	Kintner, Elgin P.",Photographer,"Elgin P. Kintner, M.D. Smoky Mountains Collection, 1950-2011",MS.3686,"University of Tennessee, Knoxville. Special Collections","Photography, Panoramic.","The panoramic images of Elgin P. Kintner, M.D.",http://digital.lib.utk.edu/collections/islandora/object/kintner%3A46/datastream/TN/view/View%20of%20Bryson%20City%20from%20Noland%20Divide.jpg,kintner_46,kintner:46,8186-8187
http://digital.lib.utk.edu/collections/islandora/object/kintner%3A42,Great Smoky Mountains National Park (N.C. and Tenn.)--Pictorial works.,"LeConte, Mount (Tenn.)", , , , ,"From Spruce Mtn tower looking to NW; LeConte, Porter Gap, Sequoyah, Chapman, Guyot - old Black",Panorama taken looking Northeast from the Spruce Mountain Fire Tower with Laurel Top at left and Old Black at right. Spruce Mountain Fire Tower is no longer standing.,image,1975 September 9,View from Spruce Mountain Tower ? Annotated,photographs,Images in the collection are protected by copyright. Contact smokies@utk.edu for permission to reproduce images from the collection.," 	Kintner, Elgin P.",Photographer,"Elgin P. Kintner, M.D. Smoky Mountains Collection, 1950-2011",MS.3686,"University of Tennessee, Knoxville. Special Collections","Photography, Panoramic.","The panoramic images of Elgin P. Kintner, M.D.",http://digital.lib.utk.edu/collections/islandora/object/kintner%3A42/datastream/TN/view/View%20from%20Spruce%20Mountain%20Tower%20%C2%96%20Annotated.jpg,kintner_42,kintner:42,7893-7894-annotated
http://digital.lib.utk.edu/collections/islandora/object/kintner%3A2,Great Smoky Mountains National Park (N.C. and Tenn.)--Pictorial works.,Sun--Rising and setting--Pictorial works,,,,,uncaptioned,Sunrise or Sunset in the Smokies,image,July 1968,Sunrise or Sunset in the Smokies,photographs,Images in the collection are protected by copyright. Contact smokies@utk.edu for permission to reproduce images from the collection.," 	Kintner, Elgin P.",Photographer,"Elgin P. Kintner, M.D. Smoky Mountains Collection, 1950-2011",MS.3686,"University of Tennessee, Knoxville. Special Collections","Photography, Panoramic.","The panoramic images of Elgin P. Kintner, M.D.",http://digital.lib.utk.edu/collections/islandora/object/kintner%3A2/datastream/TN/view/Sunrise%20or%20Sunset%20in%20the%20Smokies.jpg,kintner_2,kintner:2,1118-1120
http://digital.lib.utk.edu/collections/islandora/object/kintner%3A12,Great Smoky Mountains National Park (N.C. and Tenn.)--Pictorial works.,"LeConte, Mount (Tenn.)", , , , ,"From Cove Mountain Looking Southeast: Mt Le Conte, Bull Head, Newfound Gap, and Mt Mingus.","Panorama taken looking Southeast from the Cove Mountain Fire Tower, which is still standing, viewing Rocky Spur on the left and Mount Mingus on the right.",image,"February 20, 1972",Looking Southeast from Cove Mountain ? Annotated,photographs,Images in the collection are protected by copyright. Contact smokies@utk.edu for permission to reproduce images from the collection.," 	Kintner, Elgin P.",Photographer,"Elgin P. Kintner, M.D. Smoky Mountains Collection, 1950-2011",MS.3686,"University of Tennessee, Knoxville. Special Collections","Photography, Panoramic.","The panoramic images of Elgin P. Kintner, M.D.",http://digital.lib.utk.edu/collections/islandora/object/kintner%3A12/datastream/TN/view/Looking%20Southeast%20from%20Cove%20Mountain%20%C2%96%20Annotated.jpg,kintner_12,kintner:12,3711-3713-annotated
http://digital.lib.utk.edu/collections/islandora/object/kintner%3A22,Great Smoky Mountains National Park (N.C. and Tenn.)--Pictorial works.,, ,,,,uncaptioned,,image,February 1973,View from High Rocks,photographs,Images in the collection are protected by copyright. Contact smokies@utk.edu for permission to reproduce images from the collection.," 	Kintner, Elgin P.",Photographer,"Elgin P. Kintner, M.D. Smoky Mountains Collection, 1950-2011",MS.3686,"University of Tennessee, Knoxville. Special Collections","Photography, Panoramic.","The panoramic images of Elgin P. Kintner, M.D.",http://digital.lib.utk.edu/collections/islandora/object/kintner%3A22/datastream/TN/view/View%20from%20High%20Rocks.jpg,kintner_22,kintner:22,5137-5138
http://digital.lib.utk.edu/collections/islandora/object/kintner%3A13,Great Smoky Mountains National Park (N.C. and Tenn.)--Pictorial works.,"LeConte, Mount (Tenn.)", , , , ,"From Cove Mountain Looking Southeast: Mt Le Conte, Bull Head, Newfound Gap, and Mt Mingus.","Panorama taken looking Southeast from the Cove Mountain Fire Tower, which is still standing, viewing Rocky Spur on the left and Mount Mingus on the right.",image,"February 20, 1972",Looking Southeast from Cove Mountain,photographs,Images in the collection are protected by copyright. Contact smokies@utk.edu for permission to reproduce images from the collection.," 	Kintner, Elgin P.",Photographer,"Elgin P. Kintner, M.D. Smoky Mountains Collection, 1950-2011",MS.3686,"University of Tennessee, Knoxville. Special Collections","Photography, Panoramic.","The panoramic images of Elgin P. Kintner, M.D.",http://digital.lib.utk.edu/collections/islandora/object/kintner%3A13/datastream/TN/view/Looking%20Southeast%20from%20Cove%20Mountain.jpg,kintner_13,kintner:13,3711-3713
http://digital.lib.utk.edu/collections/islandora/object/kintner%3A41,Great Smoky Mountains National Park (N.C. and Tenn.)--Pictorial works.,Fontana Village (N.C.), ,,,,"Fontana Village from Shuckstack / ""30 Jul?""",,image,1975 July 30,View of Fontana Village,photographs,Images in the collection are protected by copyright. Contact smokies@utk.edu for permission to reproduce images from the collection.," 	Kintner, Elgin P.",Photographer,"Elgin P. Kintner, M.D. Smoky Mountains Collection, 1950-2011",MS.3686,"University of Tennessee, Knoxville. Special Collections","Photography, Panoramic.","The panoramic images of Elgin P. Kintner, M.D.",http://digital.lib.utk.edu/collections/islandora/object/kintner%3A41/datastream/TN/view/View%20of%20Fontana%20Village.jpg,kintner_41,kintner:41,7782-7783
http://digital.lib.utk.edu/collections/islandora/object/kintner%3A40,Great Smoky Mountains National Park (N.C. and Tenn.)--Pictorial works.,Fontana Lake (N.C.), ,,,,Panorama: From High Rocks to Fontana Lake,,image,1975 July 30,Panorama from High Rocks to Fontana Lake,photographs,Images in the collection are protected by copyright. Contact smokies@utk.edu for permission to reproduce images from the collection.," 	Kintner, Elgin P.",Photographer,"Elgin P. Kintner, M.D. Smoky Mountains Collection, 1950-2011",MS.3686,"University of Tennessee, Knoxville. Special Collections","Photography, Panoramic.","The panoramic images of Elgin P. Kintner, M.D.",http://digital.lib.utk.edu/collections/islandora/object/kintner%3A40/datastream/TN/view/Panorama%20from%20High%20Rocks%20to%20Fontana%20Lake.jpg,kintner_40,kintner:40,7768-7769
http://digital.lib.utk.edu/collections/islandora/object/kintner%3A19,Great Smoky Mountains National Park (N.C. and Tenn.)--Pictorial works., , , , , ,view from High Rocks.,"Panorama taken looking North from High Rocks Fire Tower, which was removed in the 1980s, viewing Thunderhead of left,  with Silers Bald and The Narrows on right.",image,February 1973,View from High Rocks ? Annotated,photographs,Images in the collection are protected by copyright. Contact smokies@utk.edu for permission to reproduce images from the collection.," 	Kintner, Elgin P.",Photographer,"Elgin P. Kintner, M.D. Smoky Mountains Collection, 1950-2011",MS.3686,"University of Tennessee, Knoxville. Special Collections","Photography, Panoramic.","The panoramic images of Elgin P. Kintner, M.D.",http://digital.lib.utk.edu/collections/islandora/object/kintner%3A19/datastream/TN/view/View%20from%20High%20Rocks%20%C2%96%20Annotated.jpg,kintner_19,kintner:19,5123-5129-annotated
http://digital.lib.utk.edu/collections/islandora/object/kintner%3A56,Great Smoky Mountains National Park (N.C. and Tenn.)--Pictorial works., , ,,,,Telephoto shot of Parson Bald from Gregory,Two frame telephoto panorama with a view of Parson Bald from Gregory Bald.,image,1974 December 10,Telephoto shot of Parson Bald,photographs,Images in the collection are protected by copyright. Contact smokies@utk.edu for permission to reproduce images from the collection.," 	Kintner, Elgin P.",Photographer,"Elgin P. Kintner, M.D. Smoky Mountains Collection, 1950-2011",MS.3686,"University of Tennessee, Knoxville. Special Collections","Photography, Panoramic.","The panoramic images of Elgin P. Kintner, M.D.",http://digital.lib.utk.edu/collections/islandora/object/kintner%3A56/datastream/TN/view/Telephoto%20shot%20of%20Parson%20Bald.jpg,kintner_56,kintner:56,6949-6950
http://digital.lib.utk.edu/collections/islandora/object/kintner%3A33,Great Smoky Mountains National Park (N.C. and Tenn.)--Pictorial works.,Cades Cove (Tenn.), ,,,,uncaptioned,Panorama of Cades Cove from Rich Mountain.,image,"between January 9 and April 26, 1975",View of Cades Cove,photographs,Images in the collection are protected by copyright. Contact smokies@utk.edu for permission to reproduce images from the collection.," 	Kintner, Elgin P.",Photographer,"Elgin P. Kintner, M.D. Smoky Mountains Collection, 1950-2011",MS.3686,"University of Tennessee, Knoxville. Special Collections","Photography, Panoramic.","The panoramic images of Elgin P. Kintner, M.D.",http://digital.lib.utk.edu/collections/islandora/object/kintner%3A33/datastream/TN/view/View%20of%20Cades%20Cove.jpg,kintner_33,kintner:33,7255-7256
http://digital.lib.utk.edu/collections/islandora/object/kintner%3A5,Great Smoky Mountains National Park (N.C. and Tenn.)--Pictorial works.,Clingmans Dome (N.C. and Tenn.), ,,,,"We had lunch on top of Hangover.  You can see Clingmans Dome, 30 miles away!",,image,February 1981,On top of the Hangover,photographs,Images in the collection are protected by copyright. Contact smokies@utk.edu for permission to reproduce images from the collection.," 	Kintner, Elgin P.",Photographer,"Elgin P. Kintner, M.D. Smoky Mountains Collection, 1950-2011",MS.3686,"University of Tennessee, Knoxville. Special Collections","Photography, Panoramic.","The panoramic images of Elgin P. Kintner, M.D.",http://digital.lib.utk.edu/collections/islandora/object/kintner%3A5/datastream/TN/view/On%20top%20of%20the%20Hangover.jpg,kintner_5,kintner:5,1357-1358
http://digital.lib.utk.edu/collections/islandora/object/kintner%3A23,Great Smoky Mountains National Park (N.C. and Tenn.)--Pictorial works.,, ,,,,uncaptioned,View from High Rocks,image,February 1973,View from High Rocks,photographs,Images in the collection are protected by copyright. Contact smokies@utk.edu for permission to reproduce images from the collection.," 	Kintner, Elgin P.",Photographer,"Elgin P. Kintner, M.D. Smoky Mountains Collection, 1950-2011",MS.3686,"University of Tennessee, Knoxville. Special Collections","Photography, Panoramic.","The panoramic images of Elgin P. Kintner, M.D.",http://digital.lib.utk.edu/collections/islandora/object/kintner%3A23/datastream/TN/view/View%20from%20High%20Rocks.jpg,kintner_23,kintner:23,5139-5140
http://digital.lib.utk.edu/collections/islandora/object/kintner%3A25,Great Smoky Mountains National Park (N.C. and Tenn.)--Pictorial works.,Fontana Lake (N.C.), , ,,,Hike to Shuckstack where there was a little frost.,Panorama taken looking West from the Shuckstack Fire Tower of the Little Shuckstack and Lake Fontana to the right.,image,"February 23, 1974",View of Little Shuckstack,photographs,Images in the collection are protected by copyright. Contact smokies@utk.edu for permission to reproduce images from the collection.," 	Kintner, Elgin P.",Photographer,"Elgin P. Kintner, M.D. Smoky Mountains Collection, 1950-2011",MS.3686,"University of Tennessee, Knoxville. Special Collections","Photography, Panoramic.","The panoramic images of Elgin P. Kintner, M.D.",http://digital.lib.utk.edu/collections/islandora/object/kintner%3A25/datastream/TN/view/View%20of%20Little%20Shuckstack.jpg,kintner_25,kintner:25,6255-6257
http://digital.lib.utk.edu/collections/islandora/object/kintner%3A35,Great Smoky Mountains National Park (N.C. and Tenn.)--Pictorial works.,Appalachian Trail, , , , ,A view of the AT to the east from Jumpoff,View looking East from the Jump-Off on Mount Kephart looking at Porters Mountain on left and Richland Mountain on right.,image,1975 July 23,View of the Appalachian Trail ? Annotated,photographs,Images in the collection are protected by copyright. Contact smokies@utk.edu for permission to reproduce images from the collection.," 	Kintner, Elgin P.",Photographer,"Elgin P. Kintner, M.D. Smoky Mountains Collection, 1950-2011",MS.3686,"University of Tennessee, Knoxville. Special Collections","Photography, Panoramic.","The panoramic images of Elgin P. Kintner, M.D.",http://digital.lib.utk.edu/collections/islandora/object/kintner%3A35/datastream/TN/view/View%20of%20the%20Appalachian%20Trail%20%C2%96%20Annotated.jpg,kintner_35,kintner:35,7731-7732-annotated
http://digital.lib.utk.edu/collections/islandora/object/kintner%3A57,Great Smoky Mountains National Park (N.C. and Tenn.)--Pictorial works., , ,,,,Telephoto shot of Parson Bald from Gregory,Two frame telephoto panorama with a view of Parson Bald from Gregory Bald.,image,1974 December 10,Telephoto shot of Parson Bald,photographs,Images in the collection are protected by copyright. Contact smokies@utk.edu for permission to reproduce images from the collection.," 	Kintner, Elgin P.",Photographer,"Elgin P. Kintner, M.D. Smoky Mountains Collection, 1950-2011",MS.3686,"University of Tennessee, Knoxville. Special Collections","Photography, Panoramic.","The panoramic images of Elgin P. Kintner, M.D.",http://digital.lib.utk.edu/collections/islandora/object/kintner%3A57/datastream/TN/view/Telephoto%20shot%20of%20Parson%20Bald.jpg,kintner_57,kintner:57,6949-6951
http://digital.lib.utk.edu/collections/islandora/object/kintner%3A31,Great Smoky Mountains National Park (N.C. and Tenn.)--Pictorial works.,, ,,,,uncaptioned,View from Spence Field.,image,circa January 1975,View from Spence Field,photographs,Images in the collection are protected by copyright. Contact smokies@utk.edu for permission to reproduce images from the collection.," 	Kintner, Elgin P.",Photographer,"Elgin P. Kintner, M.D. Smoky Mountains Collection, 1950-2011",MS.3686,"University of Tennessee, Knoxville. Special Collections","Photography, Panoramic.","The panoramic images of Elgin P. Kintner, M.D.",http://digital.lib.utk.edu/collections/islandora/object/kintner%3A31/datastream/TN/view/View%20from%20Spence%20Field.jpg,kintner_31,kintner:31,7110-7111
http://digital.lib.utk.edu/collections/islandora/object/kintner%3A36,Great Smoky Mountains National Park (N.C. and Tenn.)--Pictorial works.,Appalachian Trail, , , , ,A view of the AT to the east from Jumpoff,View looking East from the Jump-Off on Mount Kephart looking at Porters Mountain on left and Richland Mountain on right.,image,1975 July 23,View of the Appalachian Trail,photographs,Images in the collection are protected by copyright. Contact smokies@utk.edu for permission to reproduce images from the collection.," 	Kintner, Elgin P.",Photographer,"Elgin P. Kintner, M.D. Smoky Mountains Collection, 1950-2011",MS.3686,"University of Tennessee, Knoxville. Special Collections","Photography, Panoramic.","The panoramic images of Elgin P. Kintner, M.D.",http://digital.lib.utk.edu/collections/islandora/object/kintner%3A36/datastream/TN/view/View%20of%20the%20Appalachian%20Trail.jpg,kintner_36,kintner:36,7731-7732
